userId,fullVisitorId,visitId,visitNumber,f0_,visits,hits,pageviews,time_on_site,total_transactions,total_revenue,product_category,product_name,product_sku,product_price_valid,product_quantity,product_revenue,socialEngagementType
,0290333981372798422,1494872984,2,date,1,11,10,808,1,36.42,Apparel,Google Men's Bike Short Sleeve Tee Charcoal,GGOEGAAJ080615,19.49,1,19.49,Not Socially Engaged
,0290333981372798422,1494872984,2,date,1,11,10,808,1,36.42,Apparel,Google Women's Tee Grey,GGOEGALJ036413,16.93,1,16.93,Not Socially Engaged
,0395050647250429598,1494883109,2,date,1,12,12,633,1,53.66,Apparel,Google Women's Short Sleeve Badge Tee Navy,GGOEGALL074613,13.89,1,13.89,Not Socially Engaged
,0395050647250429598,1494883109,2,date,1,12,12,633,1,53.66,Apparel,Google Men's Short Sleeve Performance Badge Tee Navy,GGOEGAAL059013,17.39,1,17.39,Not Socially Engaged
,0395050647250429598,1494883109,2,date,1,12,12,633,1,53.66,Drinkware,Google 22 oz Water Bottle,GGOEGDHC018299,4.99,1,4.99,Not Socially Engaged
,0395050647250429598,1494883109,2,date,1,12,12,633,1,53.66,Apparel,Google Women's Performance Hero Tee Gunmetal,GGOEGALJ072913,17.39,1,17.39,Not Socially Engaged
,644061149609662421,1494853988,2,date,1,12,10,195,1,118.8,Office,YouTube Leatherette Notebook Combo,GGOEYOLR018699,5.9399999999999995,20,118.8,Not Socially Engaged
,5446026750047012560,1494871488,2,date,1,13,13,976,1,87.38,Apparel,Google Men's Vintage Badge Tee Black,GGOEGAAB033817,17.79,1,17.79,Not Socially Engaged
,5446026750047012560,1494871488,2,date,1,13,13,976,1,87.38,Apparel,Men's Weatherblock Shell Jacket Black,GGOEGADB056618,69.59,1,69.59,Not Socially Engaged
,0754276461062540121,1494870769,2,date,1,13,13,372,1,29.38,Apparel,Android Men's Pep Rally Short Sleeve Tee Navy,GGOEAAAL081117,14.69,1,14.69,Not Socially Engaged
,0754276461062540121,1494870769,2,date,1,13,13,372,1,29.38,Apparel,Android Men's Take Charge Short Sleeve Tee Purple,GGOEAAAP081217,14.69,1,14.69,Not Socially Engaged
,1008230340188426455,1494857623,1,date,1,15,13,470,1,13.99,Drinkware,Android Rise 14 oz Mug,GGOEADWQ015699,13.99,1,13.99,Not Socially Engaged
,3813481911022270064,1494911492,1,date,1,16,15,410,1,18.99,Apparel,Google Men's Bike Short Sleeve Tee Charcoal,GGOEGAAJ080615,18.99,1,18.99,Not Socially Engaged
,9575170126084021202,1494902130,1,date,1,17,13,337,1,25.99,Headgear,Google 5-Panel Snapback Cap,GGOEGHPB080410,25.99,1,25.99,Not Socially Engaged
,374253765923087294,1494882269,6,date,1,18,14,459,1,11.78,Office,Android Sticker Sheet Ultra Removable,GGOEAFKQ020599,5.89,1,5.89,Not Socially Engaged
,374253765923087294,1494882269,6,date,1,18,14,459,1,11.78,Office,Google Laptop and Cell Phone Stickers,GGOEGFKQ020399,5.89,1,5.89,Not Socially Engaged
,0985098225619885190,1494870881,22,date,1,19,15,352,1,42.21,Apparel,Google Women's Vintage Hero Tee Lavender,GGOEGALP034314,11.296666,1,11.296666,Not Socially Engaged
,0985098225619885190,1494870881,22,date,1,19,15,352,1,42.21,Apparel,Google Men's 100% Cotton Short Sleeve Hero Tee Red,GGOEGAAR010714,14.256666,1,14.256666,Not Socially Engaged
,0985098225619885190,1494870881,22,date,1,19,15,352,1,42.21,Apparel,Google Men's Bike Short Sleeve Tee Charcoal,GGOEGAAJ080614,16.656666,1,16.656666,Not Socially Engaged
,7871079031879063569,1494885090,1,date,1,19,16,263,1,57.83,Office,Google Laptop and Cell Phone Stickers,GGOEGFKQ020399,3.401764705882353,17,57.83,Not Socially Engaged
,3076174797058833907,1494877902,10,date,1,19,15,388,1,316.31,Electronics,Compact Bluetooth Speaker,GGOEGEVJ023999,45.39,2,90.78,Not Socially Engaged
,3076174797058833907,1494877902,10,date,1,19,15,388,1,316.31,Bags,Large Zipper Top Tote Bag,GGOEGBJB022599,28.59,2,57.18,Not Socially Engaged
,3076174797058833907,1494877902,10,date,1,19,15,388,1,316.31,Backpacks,Google Laptop Tech Backpack,GGOEGBRB073899,38.99,2,77.98,Not Socially Engaged
,3076174797058833907,1494877902,10,date,1,19,15,388,1,316.31,Electronics,Google 4400mAh Power Bank,GGOEGEHQ072599,30.99,2,61.98,Not Socially Engaged
,3076174797058833907,1494877902,10,date,1,19,15,388,1,316.31,Apparel,Google Baby Essentials Set,GGOEGAWQ062948,28.39,1,28.39,Not Socially Engaged
,3807311238107119540,1494878601,1,date,1,19,17,550,1,44.98,Apparel,Google Men's Short Sleeve Hero Tee Heather,GGOEGAAJ073415,21.99,1,21.99,Not Socially Engaged
,3807311238107119540,1494878601,1,date,1,19,17,550,1,44.98,Apparel,Android Men's Engineer Short Sleeve Tee Charcoal,GGOEAAAJ080815,22.99,1,22.99,Not Socially Engaged
,3845852396426162446,1494891569,1,date,1,20,18,659,1,36.99,Electronics,Google Water Resistant Bluetooth Speaker,GGOEGEVR014999,36.99,1,36.99,Not Socially Engaged
,8544910212244329397,1494877789,1,date,1,20,20,537,1,20.59,Apparel,Google Toddler Short Sleeve Tee White,GGOEGAXQ067129,20.59,1,20.59,Not Socially Engaged
,833073323421806487,1494860893,2,date,1,20,17,211,1,45.79,Apparel,Google Men's  Zip Hoodie,GGOEGAFB035815,45.79,1,45.79,Not Socially Engaged
,6436454707480049919,1494878147,2,date,1,21,19,675,1,78.18,Apparel,Google Men's 100% Cotton Short Sleeve Hero Tee White,GGOEGAAQ010414,15.09,1,15.09,Not Socially Engaged
